place_id,user_ratings_total,rating
ChIJT6J4MSIPZ0gRVJUCr5G6TUs,925,4.4
ChIJ4cljHKkPZ0gROo47wkV1NVQ,96,4.8
ChIJk0c2bzYMZ0gRZYWoJJy2tWc,132,3.7
ChIJQT_v7XoPZ0gRxf_ZYI88Jow,413,4.6
ChIJ5-flOdwNZ0gRpM05zg9cr2w,747,4.6
ChIJ8TnNYZwOZ0gRix3vKQ2vacY,1781,4.4
ChIJYUaj-VMNZ0gRO6ir3oQMcNo,688,4.5
ChIJA1dp3IUNZ0gRiddvKCSU8tQ,96,4.7
ChIJgQ4icKAOZ0gRDgjyXwQrjRQ,807,4.7
ChIJH0SvAFkMZ0gRZhdOILmBkbM,247,4.4
ChIJCdymf68PZ0gRn1JyaCYRUcc,308,4.5
ChIJYUjiG34OZ0gRwOKOV1Pfb0E,381,4.3
ChIJBcjAcvsNZ0gRQUSBJh2-wrk,125,4.6
ChIJy8x0plMNZ0gR2xya3MgmnqI,435,4.1
ChIJkw9kYPkNZ0gRNKPoiutsV9k,200,4.1
ChIJMX4OWwANZ0gRWCS3xRd5uhA,218,4.5
ChIJnQZz4IoPZ0gR1gaZGzDmaRU,8517,4.8
ChIJ8wI8Ef8NZ0gRibnjo4Wbj2s,448,4.4
ChIJl7rO-8UPZ0gR9rN8mRNq-TM,664,4.4
ChIJ3yB03IIPZ0gRTch7rrjRR4o,33,4.8
ChIJdS86sUYNZ0gRqyLWBp4nXd8,8,3.5
ChIJ9WuBIcMJZ0gRiybl0zJSFCk,1,5
ChIJASShCH4OZ0gRSbpY0G6Dr3A,232,4.3
ChIJw1sI5dUNZ0gRkfeyHqLJW8s,174,3.8
ChIJS3W__pcNZ0gRpgj6bQsbPjM,396,4.6
ChIJfUC7s-QPZ0gRnvkOlkKNBrU,172,4.8
ChIJCycOu2sOZ0gReLPAdi1Pt-0,749,4.4
ChIJyZMjyo4OZ0gRvdzeWdftFH8,198,3.8
ChIJH4Gy46APZ0gRaxNrFKWqrA4,1164,4.8
ChIJXTqvOwIMZ0gRnZX4geAhRVE,372,4.5
ChIJbVh4zJAPZ0gR2EA8G7deIHU,68,2.3
ChIJZctAOwANZ0gRGlcorBCU91M,402,4.5
ChIJq6r6HwMMZ0gRNn8WPsB-L0c,557,4.6
ChIJOaHLC0kNZ0gRs1XPHyYDrew,754,4.6
ChIJj8V8ixgMZ0gR77vLmr0ZE3A,208,3.8
ChIJtbgr-yYPZ0gRSwPsKUAsDiY,99,4.3
ChIJhRkk34IOZ0gRpvt2yIVIr9Q,1776,4.4
ChIJj859AF8OZ0gRJJtG6Qm8-AU,213,4
ChIJ__xdW1wOZ0gRl0kzXTNyzVg,310,3.9
ChIJ_5xOSZ4PZ0gRib-dAdg8JV0,572,4.5
ChIJ8RNWjdwNZ0gR0P0MiketL-4,450,4.8
ChIJoxQHotkPZ0gRDI0z1C1MhLo,93,3.2
ChIJfQkG-msPZ0gRR2LQqETorG8,248,4.3
ChIJca5uuJMPZ0gR-R5sr64bxSg,9,4
ChIJxcrNpZsOZ0gRW7zR3vTvNP0,325,4.5
ChIJvy09L5YOZ0gRY6UO1WVPulo,1609,4.5
ChIJLUoAFQANZ0gRpvjcjpEbmpM,75,4.8
ChIJIcAX75IPZ0gRLmgBljC5-UM,705,4.7
ChIJG70Qt64PZ0gR0Vko6KUDrUA,173,4.8
ChIJlWtmZwAPZ0gRDS3emKMUY3M,256,4.5
ChIJSQIP1gwJZ0gR32pqyj0oYQ4,460,4.5
ChIJuXZqZ4YOZ0gR0wc87d26J8Q,2029,4.5
ChIJ2Q2Nv6cNZ0gRdiaHFtsiM9I,112,4.1
ChIJwTwNT3oPZ0gRdrFrUdFdoQI,138,4.9
ChIJ2XqHdSIMZ0gRrOZf-0xhCzg,53,4.4
ChIJB-MDRQALZ0gRPYj6tVmPDzY,73,4.9
ChIJCaNNGngOZ0gRnprYPa46aEA,100,3.6
ChIJ92ESGwAPZ0gRLegP4mkKCGM,25,4.1
ChIJS1QuGuINZ0gRIOIe9JW9HtM,109,3.3
ChIJzTgyXuoOZ0gRQNBGY3SS4BU,2435,4.6
ChIJC76lL60NZ0gRNIEMUvK4_jc,880,4.3
ChIJvacR37APZ0gRZfvBb-Yd_U8,245,4.7
ChIJj1D7KgAPZ0gRMxD8ajNYQ9U,184,4.4
ChIJSx3WipwOZ0gRYe6PRsvgx6w,787,3.7
ChIJfSsveNgPZ0gRAq2tzz0s1bw,656,4.7
ChIJ_5gHe6AOZ0gRxgiDcDsU5BM,977,4.6
ChIJRaPGZa4PZ0gR7u3Nd5vw1J4,378,4.6
ChIJKdWY0-UPZ0gRNkXE7j2QMjM,776,4.2
ChIJcyD28twNZ0gR2piqUcxSZIQ,1926,4.7
ChIJ4xKRBMQOZ0gRylN6SYgFmJo,696,4.5
ChIJBxEF-EEPZ0gRZEBBUT5j0U8,1039,4.7
ChIJPw-eM00NZ0gRm3PITkPst44,231,4.4
ChIJBZMyNEgNZ0gRPbA3GHw-93A,731,4.5
ChIJMUVwdQAPZ0gRCAJF6mDC7fs,69,4.4
ChIJya1pGgAJZ0gRQJ8AZkSZg0o,1,1
ChIJmZuQhLEPZ0gRl60zjJQ4KMg,1032,4.8
ChIJB8EqJ_UNZ0gRGu4843-7luE,423,4.4
ChIJO5VHJAANZ0gR_qPJ0Cgac9w,41,4.6
ChIJCeE_DEANZ0gRbqH28FAL4o4,205,3.6
ChIJRS5lnioPZ0gRdxp0s7NC8M8,166,4.8
ChIJIWrkRLIPZ0gR401vf3mP7l8,12,3.6
ChIJlT5xnp8NZ0gR_kcpcts7Xqw,64,4.2
ChIJNQaucdgNZ0gRtr9vXyq2mHU,363,4.8
ChIJTYWdzZ8OZ0gRL8BlfYBz16M,1753,4.6
ChIJv4mVO0MPZ0gRjWIiyb_KSsI,116,4.4
ChIJ4Zg6bZkPZ0gRzdl81Psucck,475,4.4
ChIJBaApONoPZ0gRLqI_oyIMRcA,890,4.6
ChIJRUxyw70OZ0gRTMxcc33igmE,866,4.3
ChIJ0yfZ2I4OZ0gR7fNEJrUe0-0,858,4.5
ChIJez4ajSQPZ0gR-nwV4LX3H2c,740,4.4
ChIJuSpu8KkPZ0gRqcSWQCOQtO8,49,4
ChIJ0RpDFHgOZ0gR-lGN2bOKSls,117,3.4
ChIJJZY6EeIPZ0gR7Rib5mpzcCg,104,4.4
ChIJxz0noLQPZ0gR6-ghK9TBvSU,316,4.4
ChIJCcYUHSEPZ0gR3H4hxqGpSqI,168,4.6
ChIJpZYZ4F0OZ0gR2nESzri48io,108,3.6
ChIJ75rI3r0OZ0gRCtVD-9V4Gv8,1827,4.6
ChIJl85wlJcNZ0gRYmuXi1f2O_0,59,4.6
ChIJw4tuSYMOZ0gRIyu4c0oHjX4,280,4.4
ChIJudnh0yENZ0gRTI7TYY9BrgQ,371,4.8
ChIJD94kql8OZ0gRHyBWkaMj78k,308,4.5
ChIJJ_GChgsPZ0gRAYaghnn0PwY,2046,4.4
ChIJwbH_l6kJZ0gRCef5zCHTOoI,158,4
ChIJ4e3T_YwOZ0gRG847Xnaiap0,1680,4
ChIJBSB3dKAOZ0gR5PXzPi7iHxg,1984,4.4
ChIJr6h723QPZ0gRSjavWixgenA,3072,4.2
ChIJh7aqsocOZ0gRKTqC15csf3Y,555,4.4
ChIJw1UZz6UOZ0gRcRGLLnFeajk,136,4.7
ChIJEdQbplsPZ0gRjDxUvwJKrvs,476,4.5
ChIJEX-Q4l4NZ0gRw6gZZmmDe4c,242,4.8
ChIJRxEZJiIMZ0gRA0p2cwqxSHk,351,3.5
ChIJU-wTe28OZ0gRoHgIkBAc7cA,194,4.2
ChIJIyVHWo8NZ0gRd2AXxDSnOT8,41,4.7
ChIJw0B_s7cOZ0gR-psFBsrYsvA,470,3.8
ChIJN2tjpooPZ0gRnUiQFNRspXw,136,4.9
ChIJWX2RAWAOZ0gR9XmdZskEo9Q,767,4.6
ChIJfTBwfEQOZ0gRCorvrLaHaAk,130,4
ChIJ_QL6cwANZ0gRSeyHmA7JYGI,343,4.8
ChIJe0G8co0OZ0gRxf715xh7VN8,1338,4
ChIJSVZoJNEPZ0gRHeAGaN6TZlA,251,4.8
ChIJhUenEJwJZ0gRj8UKEifhiFQ,18,3.9
ChIJneme09gNZ0gR-JQU69I8Ksk,379,4.1
ChIJ1U31lMYOZ0gRL-FPr1gwm-Y,997,4.3
ChIJxcjQ95MOZ0gRqzdjufL7vwI,1140,4.5
ChIJ40O1eIMOZ0gRjDej1H9r50o,2249,4.2
ChIJ-Uzl0JYNZ0gRt3CrF8K_YtA,39,4.8
ChIJ5bcYUXwOZ0gRNHrK4P68hmU,636,4.3
ChIJj38h6aUOZ0gR0EVMOuhtPdc,122,4.3
ChIJlQdgcJEJZ0gRC-Y3sl1p698,121,4.4
ChIJXXFEUGkOZ0gR5WsrJWcIrNc,340,4.2
ChIJWQO9y5wOZ0gRDUWJDEpAPoE,2015,4.6
ChIJ_Qba2ZwOZ0gR0x_AEbhQUr4,414,3.8
ChIJa4Y4WyIPZ0gRNahnyCEDSoE,157,4.7
ChIJmwT4rpwOZ0gRODNIA5Wrng8,3263,4.5
