place_id,lng,lat
ChIJ_Z3l6wMPZ0gReCUnW2eOXHo,-6.2670121,53.350342
ChIJbSgMJ-xFwokRvDN1T4XpirM,-74.0152918,40.6401201
ChIJ_5dPnKUNZ0gRA8wlWuwVWmA,-6.2786061,53.3482956
ChIJeRzLvIQOZ0gRi1PVJmhdvTc,-6.2626034,53.3460087
ChIJpQbRiLcPZ0gRFIaPUnssdIU,-6.2646281,53.33233
ChIJFZRbY6MPZ0gRLZQB4EcKwG8,-6.2577602,53.3588602
ChIJ21Xt_18OZ0gR04xMPZPrLV0,-6.2428199,53.3573251
ChIJyUZkH9YNZ0gR8bM8VuHb1HQ,-6.2726651,53.3624398
ChIJDzq-doIOZ0gRqDaSGzMdqGA,-6.2687202,53.3486966
ChIJxa-BkMAOZ0gRmFrGQZgA7Cc,-6.236331,53.332346
ChIJw7yz83QNZ0gRqGjFJZKnWNU,-6.2697869,53.3482198
ChIJ7bcsQVMNZ0gRDMtpsBNHm1A,-6.2782314,53.342615
ChIJ3Qd9zHAPZ0gRHFL5xMiKi0Q,-6.2583086,53.349927
ChIJG-5b3ZsOZ0gRelL4mJ0ROiI,-6.2588901,53.3409827
ChIJFZsm758OZ0gRcGdjXYpOBRs,-6.2649908,53.3353791
ChIJjx5CaAoPZ0gRd2lUZFrend0,-6.2679946,53.3467929
ChIJ02H13z4NZ0gRqoDDJW13vBk,-6.274296,53.3344151
ChIJCVT7bosPZ0gR52zIVlr6-vQ,-6.2638811,53.3446561
ChIJVarpZbgNZ0gRo7k6OyGFpSA,-6.2775255,53.3426205
ChIJwbOb3KwPZ0gRa78tB1JFEns,-6.2629325,53.3452104
ChIJAWYKRc8PZ0gRSfghkE6Wxao,-6.2631102,53.3469597
ChIJu8xt2m4PZ0gRg1KR85EVkd4,-6.2432951,53.3496169
ChIJCSpqVSENZ0gRBfQ5PJgUL10,-6.2786931,53.3479158
ChIJnbXIDSIMZ0gRIp4Cjykvv8c,-6.2742364,53.3344769
ChIJ7VTe3_sPZ0gRzVhs44ff7Ig,-6.2488658,53.3444338
ChIJLWcqCPENZ0gR36tB0mxrKD8,-6.2739056,53.3606771
ChIJBTrxuVYJZ0gRUkaZZF362wU,-6.1500655,53.260805
ChIJq6pnNYkOZ0gRIFoNVC1ei_o,-6.2505077,53.3514848
ChIJz_GM7KUOZ0gRKJNfxg5uios,-6.2551045,53.3249902
ChIJ63VMt5EOZ0gRlGO-wjdc7aI,-6.2493822,53.3442634
ChIJjWdqUK0PZ0gRp2unx_gXFOk,-6.2577331,53.3501162
ChIJ1TImPqAPZ0gRUJPL00L1614,-6.2643057,53.3455831
ChIJSfj1I4cPZ0gREGXr1mnRyNU,-6.2590071,53.3537864
ChIJ2bAxC4IOZ0gRQIhoorNME5o,-6.2688866,53.3491264
ChIJhXU6CAANZ0gRIbDRRKr-XR0,-6.2692536,53.3482771
ChIJzeeBPI8OZ0gRQ696vb_3d_A,-6.2528079,53.3502998
ChIJTxc8y2QOZ0gRVPYdqGVXZLI,-6.2583305,53.3633516
ChIJTUEea5wOZ0gRqQUO01ziNtE,-6.2622943,53.3427247
ChIJZ2RALIMOZ0gRv-16u6LugpY,-6.2633244,53.3453952
ChIJI1-tJQAPZ0gRQ4zLNjoQVZI,-6.2653167,53.3469853
